Datum;Delta (seit der ersten Buchung);Risikobehafteter Portfolioteil (Weltportfolio);Investiertes Kapital (seit der ersten Buchung);Einlagen / Entnahmen;Gesamtsumme
2019-08-04;825,60;7.547,90;10.500,00;0,00;11.325,60
2019-08-05;649,36;7.355,97;10.500,00;0,00;11.149,36
2019-08-06;630,65;7.332,94;10.500,00;0,00;11.130,65
2019-08-07;625,76;7.310,89;10.500,00;0,00;11.125,76
2019-08-08;766,79;7.464,88;10.500,00;0,00;11.266,79
2019-08-09;710,00;7.422,13;10.500,00;0,00;11.210,00
2019-08-10;710,00;7.422,13;10.500,00;0,00;11.210,00
2019-08-11;710,00;7.422,13;10.500,00;0,00;11.210,00
2019-08-12;678,70;7.377,57;10.500,00;0,00;11.178,70
2019-08-13;772,29;7.456,52;10.500,00;0,00;11.272,29
2019-08-14;676,52;7.344,91;10.500,00;0,00;11.176,52
2019-08-15;706,06;7.354,89;10.500,00;0,00;11.206,06
2019-08-16;765,87;7.421,18;10.500,00;0,00;11.265,87
2019-08-17;765,87;7.421,18;10.500,00;0,00;11.265,87
2019-08-18;765,87;7.421,18;10.500,00;0,00;11.265,87
2019-08-19;805,79;7.478,26;10.500,00;0,00;11.305,79
2019-08-20;797,34;7.454,69;10.500,00;0,00;11.297,34
2019-08-21;837,62;7.496,89;10.500,00;0,00;11.337,62
2019-08-22;795,48;7.462,79;10.500,00;0,00;11.295,48
2019-08-23;689,28;7.353,11;10.500,00;0,00;11.189,28
2019-08-24;689,28;7.353,11;10.500,00;0,00;11.189,28
2019-08-25;689,28;7.353,11;10.500,00;0,00;11.189,28
2019-08-26;721,56;7.385,51;10.500,00;0,00;11.221,56
2019-08-27;770,57;7.413,88;10.500,00;0,00;11.270,57
2019-08-28;801,15;7.431,98;10.500,00;0,00;11.301,15
2019-08-29;884,98;7.517,49;10.500,00;0,00;11.384,98
2019-08-30;931,36;7.569,27;10.500,00;0,00;11.431,36
2019-08-31;931,36;7.569,27;10.500,00;0,00;11.431,36
2019-09-01;931,36;7.569,27;10.500,00;0,00;11.431,36
2019-09-02;932,39;7.573,42;10.500,00;0,00;11.432,39
2019-09-03;932,61;7.560,20;10.500,00;0,00;11.432,61
2019-09-04;987,99;7.623,02;10.500,00;0,00;11.487,99
2019-09-05;1.032,64;7.696,47;10.500,00;0,00;11.532,64
2019-09-06;1.054,97;7.703,80;10.500,00;0,00;11.554,97
2019-09-07;1.054,97;7.703,80;10.500,00;0,00;11.554,97
2019-09-08;1.054,97;7.703,80;10.500,00;0,00;11.554,97
2019-09-09;1.052,77;7.718,40;10.500,00;0,00;11.552,77
2019-09-10;1.026,46;7.703,37;10.500,00;0,00;11.526,46
2019-09-11;1.116,95;7.788,46;10.500,00;0,00;11.616,95
2019-09-12;1.094,84;7.757,89;10.500,00;0,00;11.594,84
2019-09-13;1.094,36;7.774,33;10.500,00;0,00;11.594,36
2019-09-14;1.094,36;7.774,33;10.500,00;0,00;11.594,36
2019-09-15;1.094,36;7.774,33;10.500,00;0,00;11.594,36
2019-09-16;1.154,58;7.827,83;10.500,00;0,00;11.654,58
2019-09-17;1.083,88;7.765,29;10.500,00;0,00;11.583,88
2019-09-18;1.077,25;7.745,58;10.500,00;0,00;11.577,25
2019-09-19;1.121,44;7.789,53;10.500,00;0,00;11.621,44
2019-09-20;1.139,92;7.806,69;10.500,00;0,00;11.639,92
2019-09-21;1.139,92;7.806,69;10.500,00;0,00;11.639,92
2019-09-22;1.139,92;7.806,69;10.500,00;0,00;11.639,92
2019-09-23;1.133,74;7.781,19;10.500,00;0,00;11.633,74
2019-09-24;1.112,33;7.754,62;10.500,00;0,00;11.612,33
2019-09-25;1.094,89;7.739,34;10.500,00;0,00;11.594,89
2019-09-26;1.111,82;7.754,47;10.500,00;0,00;11.611,82
2019-09-27;1.141,49;7.768,30;10.500,00;0,00;11.641,49
2019-09-28;1.141,49;7.768,30;10.500,00;0,00;11.641,49
2019-09-29;1.141,49;7.768,30;10.500,00;0,00;11.641,49
2019-09-30;1.136,85;7.765,58;10.500,00;0,00;11.636,85
2019-10-01;1.066,00;7.701,45;10.500,00;0,00;11.566,00
2019-10-02;910,37;7.550,62;10.500,00;0,00;11.410,37
